"	``
the	DT
token	NN
he	PRP
leaves	VBZ
with	IN
us	PRP
must	MD
be	VB
the	DT
most	RBS
important	JJ
thing	NN
to	IN
him	PRP
in	IN
his	PRP$
possession	NN
.	.
i	PRP
see	VBP
the	DT
old	JJ
man	NN
has	VBZ
a	DT
wen	NN
on	IN
his	PRP$
right	JJ
cheek	NN
.	.
now	RB
mortal	JJ
men	NNS
consider	VBP
such	PDT
a	DT
wen	NN
very	RB
fortunate	JJ
.	.
let	VB
my	PRP$
lord	NN
take	VB
the	DT
lump	NN
from	IN
the	DT
old	JJ
man	NN
's	POS
right	JJ
cheek	NN
,	,
and	CC
he	PRP
will	MD
surely	RB
come	VB
to	IN
-	HYPH
morrow	NN
,	,
if	IN
only	RB
to	TO
get	VB
that	DT
back	RB
.	.
"	``
"	``
you	PRP
are	VBP
very	RB
clever	JJ
,	,
"	''
said	VBD
the	DT
demon	NN
chief	NN
,	,
giving	VBG
his	PRP$
horns	NNS
an	DT
approving	JJ
nod	NN
.	.
then	RB
he	PRP
stretched	VBD
out	RP
a	DT
hairy	JJ
arm	NN
and	CC
claw	NN
-	HYPH
like	JJ
hand	NN
,	,
and	CC
took	VBD
the	DT
great	JJ
lump	NN
from	IN
the	DT
old	JJ
man	NN
's	POS
right	JJ
cheek	NN
.	.
strange	JJ
to	TO
say	VB
,	,
it	PRP
came	VBD
off	RP
as	RB
easily	RB
as	IN
a	DT
ripe	JJ
plum	NN
from	IN
the	DT
tree	NN
at	IN
the	DT
demon	NN
's	POS
touch	NN
,	,
and	CC
then	RB
the	DT
merry	JJ
troop	NN
of	IN
demons	NNS
suddenly	RB
vanished	VBD
.	.
the	DT
old	JJ
man	NN
was	VBD
lost	VBN
in	IN
bewilderment	NN
by	IN
all	DT
that	WDT
had	VBD
happened	VBN
.	.
he	PRP
hardly	RB
knew	VBD
for	IN
some	DT
time	NN
where	WRB
he	PRP
was	VBD
.	.
when	WRB
he	PRP
came	VBD
to	TO
understand	VB
what	WP
had	VBD
happened	VBN
to	IN
him	PRP
,	,
he	PRP
was	VBD
delighted	JJ
to	TO
find	VB
that	IN
the	DT
lump	NN
on	IN
his	PRP$
face	NN
,	,
which	WDT
had	VBD
for	IN
so	RB
many	JJ
years	NNS
disfigured	VBN
him	PRP
,	,
had	VBD
really	RB
been	VBN
taken	VBN
away	RB
without	IN
any	DT
pain	NN
to	IN
himself	PRP
.	.
he	PRP
put	VBD
up	RP
his	PRP$
hand	NN
to	TO
feel	VB
if	IN
any	DT
scar	NN
remained	VBD
,	,
but	CC
found	VBD
that	IN
his	PRP$
right	JJ
cheek	NN
was	VBD
as	RB
smooth	JJ
as	IN
his	PRP$
left	NN
.	.
the	DT
sun	NN
had	VBD
long	RB
set	VBN
,	,
and	CC
the	DT
young	JJ
moon	NN
had	VBD
risen	VBN
like	IN
a	DT
silver	JJ
crescent	NN
in	IN
the	DT
sky	NN
.	.
the	DT
old	JJ
man	NN
suddenly	RB
realized	VBD
how	WRB
late	JJ
it	PRP
was	VBD
and	CC
began	VBD
to	TO
hurry	VB
home	RB
.	.
he	PRP
patted	VBD
his	PRP$
right	JJ
cheek	NN
all	PDT
the	DT
time	NN
,	,
as	IN
if	IN
to	TO
make	VB
sure	JJ
of	IN
his	PRP$
good	JJ
fortune	NN
in	IN
having	VBG
lost	VBN
the	DT
wen	NN
.	.
he	PRP
was	VBD
so	RB
happy	JJ
that	IN
he	PRP
found	VBD
it	PRP
impossible	JJ
to	TO
walk	VB
quietly	RB
he	PRP
ran	VBD
and	CC
danced	VBD
the	DT
whole	JJ
way	NN
home	RB
.	.
he	PRP
found	VBD
his	PRP$
wife	NN
very	RB
anxious	JJ
,	,
wondering	VBG
what	WP
had	VBD
happened	VBN
to	TO
make	VB
him	PRP
so	RB
late	JJ
.	.
he	PRP
soon	RB
told	VBD
her	PRP
all	DT
that	WDT
had	VBD
passed	VBN
since	IN
he	PRP
left	VBD
home	NN
that	DT
afternoon	NN
.	.
she	PRP
was	VBD
quite	RB
as	RB
happy	JJ
as	IN
her	PRP$
husband	NN
when	WRB
he	PRP
showed	VBD
her	PRP
that	IN
the	DT
ugly	JJ
lump	NN
had	VBD
disappeared	VBN
from	IN
his	PRP$
face	NN
,	,
for	CC
in	IN
her	PRP$
youth	NN
she	PRP
had	VBD
prided	VBN
herself	PRP
on	IN
his	PRP$
good	JJ
looks	NNS
,	,
and	CC
it	PRP
had	VBD
been	VBN
a	DT
daily	JJ
grief	NN
to	IN
her	PRP
to	TO
see	VB
the	DT
horrid	JJ
growth	NN
.	.
now	RB
next	JJ
door	NN
to	IN
this	DT
good	JJ
old	JJ
couple	NN
there	RB
lived	VBD
a	DT
wicked	JJ
and	CC
disagreeable	JJ
old	JJ
man	NN
.	.
he	PRP
,	,
too	RB
,	,
had	VBD
for	IN
many	JJ
years	NNS
been	VBN
troubled	VBN
with	IN
the	DT
growth	NN
of	IN
a	DT
wen	NN
on	IN
his	PRP$
left	JJ
cheek	NN
,	,
and	CC
he	PRP
,	,
too	RB
,	,
had	VBD
tried	VBN
all	DT
manner	NN
of	IN
things	NNS
to	TO
get	VB
rid	VBN
of	IN
it	PRP
,	,
but	CC
in	IN
vain	JJ
.	.
he	PRP
heard	VBD
at	IN
once	RB
,	,
through	IN
the	DT
servant	NN
,	,
of	IN
his	PRP$
neighbor	NN
's	POS
good	JJ
luck	NN
in	IN
losing	VBG
the	DT
lump	NN
on	IN
his	PRP$
face	NN
,	,
so	RB
he	PRP
called	VBD
that	DT
very	JJ
evening	NN
and	CC
asked	VBD
his	PRP$
friend	NN
to	TO
tell	VB
him	PRP
everything	NN
that	WDT
concerned	VBD
the	DT
loss	NN
of	IN
it	PRP
.	.
the	DT
good	JJ
old	JJ
man	NN
told	VBD
his	PRP$
disagreeable	JJ
neighbor	NN
all	DT
that	WDT
had	VBD
happened	VBN
to	IN
him	PRP
.	.
he	PRP
described	VBD
the	DT
place	NN
where	WRB
he	PRP
would	MD
find	VB
the	DT
hollow	JJ
tree	NN
in	IN
which	WDT
to	TO
hide	VB
,	,
and	CC
advised	VBD
him	PRP
to	TO
be	VB
on	IN
the	DT
spot	NN
in	IN
the	DT
late	JJ
afternoon	NN
towards	IN
the	DT
time	NN
of	IN
sunset	NN
.	.
the	DT
old	JJ
neighbor	NN
started	VBD
out	RP
the	DT
very	RB
next	JJ
afternoon	NN
,	,
and	CC
after	IN
hunting	VBG
about	RB
for	IN
some	DT
time	NN
,	,
came	VBD
to	IN
the	DT
hollow	JJ
tree	NN
just	RB
as	IN
his	PRP$
friend	NN
had	VBD
described	VBN
.	.
here	RB
he	PRP
hid	VBD
himself	PRP
and	CC
waited	VBD
for	IN
the	DT
twilight	NN
.	.
just	RB
as	IN
he	PRP
had	VBD
been	VBN
told	VBN
,	,
the	DT
band	NN
of	IN
demons	NNS
came	VBD
at	IN
that	DT
hour	NN
and	CC
held	VBD
a	DT
feast	NN
with	IN
dance	NN
and	CC
song	NN
.	.
when	WRB
this	DT
had	VBD
gone	VBN
on	RP
for	IN
some	DT
time	NN
the	DT
chief	NN
of	IN
the	DT
demons	NNS
looked	VBD
around	RB
and	CC
said	VBD
"	``
it	PRP
is	VBZ
now	RB
time	NN
for	IN
the	DT
old	JJ
man	NN
to	TO
come	VB
as	IN
he	PRP
promised	VBD
us	PRP
.	.
why	WRB
does	VBZ
n't	RB
he	PRP
come	VB
?	.
"	''
when	WRB
the	DT
second	JJ
old	JJ
man	NN
heard	VBD
these	DT
words	NNS
he	PRP
ran	VBD
out	IN
of	IN
his	PRP$
hiding	NN
-	HYPH
place	NN
in	IN
the	DT
tree	NN
and	CC
,	,
kneeling	VBG
down	RP
before	IN
the	DT
oni	NN
,	,
said	VBD
"	``
i	PRP
have	VBP
been	VBN
waiting	VBG
for	IN
a	DT
long	JJ
time	NN
for	IN
you	PRP
to	TO
speak	VB
!	.
"	''
