"	``
but	CC
when	WRB
she	PRP
came	VBD
to	TO
think	VB
it	PRP
over	RP
,	,
she	PRP
saw	VBD
that	IN
this	DT
would	MD
not	RB
do	VB
,	,
and	CC
so	RB
she	PRP
tried	VBD
to	TO
invent	VB
some	DT
way	NN
out	IN
of	IN
the	DT
trouble	NN
.	.
one	CD
morning	NN
she	PRP
woke	VBD
up	RP
with	IN
a	DT
splendid	JJ
idea	NN
,	,
and	CC
she	PRP
could	MD
hardly	RB
wait	VB
to	TO
have	VB
breakfast	NN
before	IN
she	PRP
sent	VBD
for	IN
the	DT
general	NN
-	HYPH
in	IN
-	HYPH
chief	NN
.	.
her	PRP$
nerves	NNS
were	VBD
all	DT
gone	VBN
,	,
and	CC
as	RB
soon	RB
as	IN
she	PRP
saw	VBD
him	PRP
,	,
she	PRP
yelled	VBD
at	IN
him	PRP
'	``
a	DT
sham	JJ
battle	NN
to	IN
-	HYPH
day	NN
now	RB
this	DT
very	JJ
instant	NN
!	.
right	RB
away	RB
,	,
right	RB
away	RB
,	,
right	RB
away	RB
!	.
'	''
"	''
but	CC
it	PRP
was	VBD
a	DT
failure	NN
as	RB
far	RB
as	IN
the	DT
khan	NNP
and	CC
the	DT
khant	NNP
were	VBD
concerned	VBN
.	.
the	DT
fairy	NN
godmother	NN
expected	VBD
that	IN
as	RB
soon	RB
as	IN
the	DT
loudest	JJS
firing	NN
began	VBD
,	,
the	DT
girl	NN
,	,
whichever	WDT
it	PRP
was	VBD
,	,
would	MD
scream	VB
,	,
and	CC
so	RB
they	PRP
would	MD
know	VB
which	WDT
was	VBD
which	WDT
.	.
but	CC
the	DT
khan	NNP
and	CC
khant	NNP
's	POS
father	NN
had	VBD
been	VBN
a	DT
famous	JJ
warrior	NN
,	,
and	CC
he	PRP
had	VBD
been	VBN
in	IN
the	DT
habit	NN
of	IN
taking	VBG
his	PRP$
children	NNS
to	IN
battle	NN
with	IN
him	PRP
from	IN
their	PRP$
earliest	JJS
years	NNS
,	,
partly	RB
because	IN
his	PRP$
wife	NN
was	VBD
dead	JJ
and	CC
he	PRP
did	VBD
n't	RB
dare	VB
trust	VB
them	PRP
with	IN
the	DT
careless	JJ
nurse	NN
at	IN
home	NN
,	,
and	CC
partly	RB
because	IN
he	PRP
wanted	VBD
to	TO
harden	VB
their	PRP$
nerves	NNS
.	.
so	RB
now	RB
they	PRP
just	RB
clapped	VBD
their	PRP$
hands	NNS
,	,
and	CC
enjoyed	VBD
the	DT
sham	JJ
battle	NN
down	RB
to	IN
the	DT
ground	NN
.	.
and	CC
to	TO
take	VB
hold	NN
of	IN
the	DT
knights	NNS
,	,
and	CC
to	TO
get	VB
on	RP
to	IN
the	DT
fence	NN
,	,
till	IN
it	PRP
was	VBD
perfectly	RB
packed	VBN
with	IN
them	PRP
;	:
and	CC
who	WP
do	VBP
you	PRP
think	VB
the	DT
fairy	NN
godmother	NN
found	VBD
had	VBD
scrambled	VBN
up	RB
on	IN
top	NN
of	IN
her	PRP$
chariot	NN
?	.
"	''
the	DT
nephew	NN
and	CC
niece	NN
were	VBD
afraid	JJ
to	TO
risk	VB
a	DT
guess	NN
,	,
and	CC
the	DT
papa	NN
had	VBD
to	TO
say	VB
"	``
the	DT
khant	NNP
!	.
the	DT
fairy	NN
godmother	NN
pulled	VBD
her	PRP
inside	RB
and	CC
hugged	VBD
her	PRP
and	CC
kissed	VBD
her	PRP
,	,
she	PRP
was	VBD
so	RB
glad	JJ
