ah	UH
!	.
who	WP
can	MD
describe	VB
a	DT
robe	NN
made	VBN
by	IN
the	DT
fairies	NNS
?	.
it	PRP
was	VBD
white	JJ
as	IN
snow	NN
,	,
and	CC
as	IN
dazzling	VBG
;	:
round	IN
the	DT
hem	NN
hung	VBD
a	DT
fringe	NN
of	IN
diamonds	NNS
,	,
sparkling	VBG
like	IN
dew	NNS
-	HYPH
drops	NNS
in	IN
the	DT
sunshine	NN
.	.
the	DT
lace	NN
about	IN
the	DT
throat	NN
and	CC
arms	NNS
could	MD
only	RB
have	VB
been	VBN
spun	VBN
by	IN
fairy	NN
spiders	NNS
.	.
surely	RB
it	PRP
was	VBD
a	DT
dream	NN
!	.
cinderella	NNP
put	VBD
her	PRP$
daintily	RB
-	HYPH
gloved	JJ
hand	NN
to	IN
her	PRP$
throat	NN
,	,
and	CC
softly	RB
touched	VBD
the	DT
pearls	NNS
that	WDT
encircled	VBD
her	PRP$
neck	NN
.	.
"	``
come	VB
,	,
child	NN
,	,
"	''
said	VBD
the	DT
godmother	NN
,	,
"	``
or	CC
you	PRP
will	MD
be	VB
late	JJ
.	.
"	''
as	IN
cinderella	NNP
moved	VBD
,	,
the	DT
firelight	NN
shone	VBD
upon	IN
her	PRP$
dainty	JJ
shoes	NNS
.	.
"	``
they	PRP
are	VBP
of	IN
diamonds	NNS
,	,
"	''
she	PRP
said	VBD
.	.
"	``
no	UH
,	,
"	''
answered	VBD
her	PRP$
godmother	NN
,	,
smiling	VBG
;	:
"	``
they	PRP
are	VBP
better	JJR
than	IN
that	IN
they	PRP
are	VBP
of	IN
glass	NN
,	,
made	VBN
by	IN
the	DT
fairies	NNS
.	.
and	CC
now	RB
,	,
child	NN
,	,
go	VB
,	,
and	CC
enjoy	VB
yourself	PRP
to	IN
your	PRP$
heart	NN
's	POS
content	NN
.	.
only	RB
remember	VB
,	,
if	IN
you	PRP
stay	VBP
at	IN
the	DT
palace	NN
one	CD
instant	NN
after	IN
midnight	NN
,	,
your	PRP$
coach	NN
and	CC
servants	NNS
will	MD
vanish	VB
,	,
and	CC
you	PRP
will	MD
be	VB
the	DT
little	JJ
gray	JJ
cinderella	NN
once	RB
more	RBR
!	.
"	''
a	DT
few	JJ
moments	NNS
later	RB
,	,
the	DT
coach	NN
dashed	VBD
into	IN
the	DT
royal	JJ
courtyard	NN
,	,
the	DT
door	NN
was	VBD
flung	VBN
open	JJ
,	,
and	CC
cinderella	NNP
alighted	VBD
.	.
as	IN
she	PRP
walked	VBD
slowly	RB
up	IN
the	DT
richly	RB
-	HYPH
carpeted	VBN
staircase	NN
,	,
there	EX
was	VBD
a	DT
murmur	NN
of	IN
admiration	NN
,	,
and	CC
the	DT
king	NN
's	POS
son	NN
hastened	VBD
to	TO
meet	VB
her	PRP
.	.
"	``
never	RB
,	,
"	''
said	VBD
he	PRP
to	IN
himself	PRP
,	,
"	``
have	VBP
i	PRP
seen	VBN
anyone	NN
so	RB
lovely	JJ
!	.
"	''
he	PRP
led	VBD
her	PRP
into	IN
the	DT
ball	NN
-	HYPH
room	NN
,	,
where	WRB
the	DT
king	NN
,	,
who	WP
was	VBD
much	RB
taken	VBN
with	IN
her	PRP$
sweet	JJ
face	NN
and	CC
pretty	JJ
,	,
modest	JJ
manners	NNS
,	,
whispered	VBD
to	IN
the	DT
queen	NN
that	IN
she	PRP
must	MD
surely	RB
be	VB
a	DT
foreign	JJ
princess	NN
.	.
the	DT
evening	NN
passed	VBD
away	RP
in	IN
a	DT
dream	NN
of	IN
delight	NN
,	,
cinderella	NNP
dancing	VBG
with	IN
no	DT
one	NN
but	IN
the	DT
handsome	JJ
young	JJ
prince	NN
,	,
and	CC
being	VBG
waited	VBN
on	RP
by	IN
his	PRP$
own	JJ
hands	NNS
at	IN
supper	NN
-	HYPH
time	NN
.	.
the	DT
two	CD
sisters	NNS
could	MD
not	RB
recognize	VB
their	PRP$
ragged	JJ
little	JJ
sister	NN
in	IN
the	DT
beautiful	JJ
and	CC
graceful	JJ
lady	NN
to	TO
whom	WP
the	DT
prince	NN
paid	VBD
so	RB
much	JJ
attention	NN
,	,
and	CC
felt	VBD
quite	RB
pleased	JJ
and	CC
flattered	VBN
when	WRB
she	PRP
addressed	VBD
a	DT
few	JJ
words	NNS
to	IN
them	PRP
.	.
presently	RB
a	DT
clock	NN
chimed	VBD
the	DT
three	CD
quarters	NNS
past	IN
eleven	CD
,	,
and	CC
,	,
remembering	VBG
her	PRP$
godmother	NN
's	POS
warning	NN
,	,
cinderella	NNP
at	IN
once	RB
took	VBD
leave	NN
of	IN
the	DT
prince	NN
,	,
and	CC
,	,
jumping	VBG
into	IN
her	PRP$
coach	NN
,	,
was	VBD
driven	VBN
rapidly	RB
home	RB
.	.
here	RB
she	PRP
found	VBD
her	PRP$
godmother	NN
waiting	VBG
to	TO
hear	VB
all	RB
about	IN
the	DT
ball	NN
.	.
"	``
it	PRP
was	VBD
lovely	JJ
,	,
"	''
said	VBD
cinderella	NNP
;	:
"	``
and	CC
oh	UH
!	.
godmother	NNP
,	,
there	EX
is	VBZ
to	TO
be	VB
another	DT
to	IN
-	HYPH
morrow	NN
night	NN
,	,
and	CC
i	PRP
should	MD
so	RB
much	RB
like	VB
to	TO
go	VB
to	IN
it	PRP
!	.
"	''
"	``
then	RB
you	PRP
shall	MD
,	,
"	''
replied	VBD
the	DT
kind	JJ
fairy	NN
,	,
and	CC
,	,
kissing	VBG
her	PRP$
godchild	NN
tenderly	RB
,	,
she	PRP
vanished	VBD
.	.
when	WRB
the	DT
sisters	NNS
returned	VBD
from	IN
the	DT
ball	NN
,	,
they	PRP
found	VBD
a	DT
sleepy	JJ
little	JJ
maiden	NN
sitting	VBG
in	IN
the	DT
chimney	NN
-	HYPH
corner	NN
,	,
waiting	VBG
for	IN
them	PRP
.	.
"	``
how	WRB
late	JJ
you	PRP
are	VBP
!	.
"	''
cried	VBD
cinderella	NNP
,	,
yawning	VBG
.	.
"	``
are	VBP
you	PRP
not	RB
very	RB
tired	JJ
?	.
"	''
"	``
not	RB
in	IN
the	DT
least	JJS
,	,
"	''
they	PRP
answered	VBD
,	,
and	CC
then	RB
they	PRP
told	VBD
her	PRP
what	WP
a	DT
delightful	JJ
ball	NN
it	PRP
had	VBD
been	VBN
,	,
and	CC
how	WRB
the	DT
loveliest	JJS
princess	NN
in	IN
the	DT
world	NN
had	VBD
been	VBN
there	RB
,	,
and	CC
had	VBD
spoken	VBN
to	IN
them	PRP
,	,
and	CC
admired	VBN
their	PRP$
pretty	JJ
dresses	NNS
.	.
"	``
who	WP
was	VBD
she	PRP
?	.
"	''
asked	VBD
cinderella	NNP
slyly	RB
.	.
"	``
that	DT
we	PRP
can	MD
not	RB
say	VB
,	,
"	''
answered	VBD
the	DT
sisters	NNS
.	.
"	``
she	PRP
would	MD
not	RB
tell	VB
her	PRP$
name	NN
,	,
though	IN
the	DT
prince	NN
begged	VBD
her	PRP
to	TO
do	VB
so	RB
on	IN
bended	JJ
knee	NN
.	.
"	``
"	``
dear	JJ
sister	NN
,	,
"	''
said	VBD
cinderella	NNP
,	,
"	``
i	PRP
,	,
too	RB
,	,
should	MD
like	VB
to	TO
see	VB
the	DT
beautiful	JJ
princess	NN
.	.
will	MD
you	PRP
not	RB
lend	VB
me	PRP
your	PRP$
old	JJ
yellow	JJ
gown	NN
,	,
that	IN
i	PRP
may	MD
go	VB
to	IN
the	DT
ball	NN
to	IN
-	HYPH
morrow	NN
with	IN
you	PRP
?	.
"	``
"	``
what	WP
!	.
"	''
cried	VBD
her	PRP$
sister	NN
angrily	RB
;	:
"	``
lend	VB
one	CD
of	IN
my	PRP$
dresses	NNS
to	IN
a	DT
little	JJ
cinder	NN
-	HYPH
maid	NN
?	.
do	VB
n't	RB
talk	VB
nonsense	NN
,	,
child	NN
!	.
"	''
poor	JJ
little	JJ
cinderella	NNP
!	.
she	PRP
hurried	VBD
home	RB
through	IN
the	DT
dark	JJ
streets	NNS
,	,
weary	JJ
,	,
and	CC
overwhelmed	VBN
with	IN
shame	NN
.	.
the	DT
fire	NN
was	VBD
out	RP
when	WRB
she	PRP
reached	VBD
her	PRP$
home	NN
,	,
and	CC
there	EX
was	VBD
no	DT
godmother	NN
waiting	VBG
to	TO
receive	VB
her	PRP
;	:
but	CC
she	PRP
sat	VBD
down	RP
in	IN
the	DT
chimney	NN
-	HYPH
corner	NN
to	TO
wait	VB
her	PRP$
sisters	NNS
'	POS
return	NN
.	.
when	WRB
they	PRP
came	VBD
in	RB
they	PRP
could	MD
speak	VB
of	IN
nothing	NN
but	IN
the	DT
wonderful	JJ
things	NNS
that	WDT
had	VBD
happened	VBN
at	IN
the	DT
ball	NN
.	.
the	DT
beautiful	JJ
princess	NN
had	VBD
been	VBN
there	RB
again	RB
,	,
they	PRP
said	VBD
,	,
but	CC
had	VBD
disappeared	VBN
just	RB
as	IN
the	DT
clock	NN
struck	VBD
twelve	CD
,	,
and	CC
though	IN
the	DT
prince	NN
had	VBD
searched	VBN
everywhere	RB
for	IN
her	PRP
,	,
he	PRP
had	VBD
been	VBN
unable	JJ
to	TO
find	VB
her	PRP
.	.
"	``
he	PRP
was	VBD
quite	RB
beside	IN
himself	PRP
with	IN
grief	NN
,	,
"	''
said	VBD
the	DT
elder	JJR
sister	NN
,	,
"	``
for	IN
there	EX
is	VBZ
no	DT
doubt	NN
he	PRP
hoped	VBD
to	TO
make	VB
her	PRP
his	PRP$
bride	NN
.	.
"	''
cinderella	NNP
listened	VBD
in	IN
silence	NN
to	IN
all	DT
they	PRP
had	VBD
to	TO
say	VB
,	,
and	CC
,	,
slipping	VBG
her	PRP$
hand	NN
into	IN
her	PRP$
pocket	NN
,	,
felt	VBD
that	IN
the	DT
one	CD
remaining	VBG
glass	NN
slipper	NN
was	VBD
safe	JJ
,	,
for	IN
it	PRP
was	VBD
the	DT
only	JJ
thing	NN
of	IN
all	DT
her	PRP$
grand	JJ
apparel	NN
that	WDT
remained	VBD
to	IN
her	PRP
.	.
on	IN
the	DT
following	VBG
morning	NN
there	EX
was	VBD
a	DT
great	JJ
noise	NN
of	IN
trumpets	NNS
and	CC
drums	NNS
,	,
and	CC
a	DT
procession	NN
passed	VBD
through	IN
the	DT
town	NN
,	,
at	IN
the	DT
head	NN
of	IN
which	WDT
rode	VBD
the	DT
king	NN
's	POS
son	NN
.	.
behind	IN
him	PRP
came	VBD
a	DT
herald	NN
,	,
bearing	VBG
a	DT
velvet	NN
cushion	NN
,	,
upon	IN
which	WDT
rested	VBD
a	DT
little	JJ
glass	NN
slipper	NN
.	.
the	DT
herald	NN
blew	VBD
a	DT
blast	NN
upon	IN
the	DT
trumpet	NN
,	,
and	CC
then	RB
read	VBD
a	DT
proclamation	NN
saying	VBG
that	IN
the	DT
king	NN
's	POS
son	NN
would	MD
we	VB
d	VB
any	DT
lady	NN
in	IN
the	DT
land	NN
