"	``
yes	UH
,	,
i	PRP
am	VBP
speaking	VBG
of	IN
you	PRP
,	,
poor	JJ
pinocchio	NNP
of	IN
you	PRP
who	WP
are	VBP
simple	JJ
enough	RB
to	TO
believe	VB
that	IN
money	NN
can	MD
be	VB
sown	VBN
and	CC
gathered	VBN
in	IN
fields	NNS
in	IN
the	DT
same	JJ
way	NN
as	IN
beans	NNS
and	CC
gourds	NNS
.	.
i	PRP
also	RB
believed	VBD
it	PRP
once	RB
,	,
and	CC
to	IN
-	HYPH
day	NN
i	PRP
am	VBP
suffering	VBG
for	IN
it	PRP
.	.
to	IN
-	HYPH
day	NN
but	CC
it	PRP
is	VBZ
too	RB
late	JJ
i	PRP
have	VBP
at	IN
last	RB
learnt	VBN
that	IN
to	TO
put	VB
a	DT
few	JJ
pennies	NNS
honestly	RB
together	RB
it	PRP
is	VBZ
necessary	JJ
to	TO
know	VB
how	WRB
to	TO
earn	VB
them	PRP
,	,
either	CC
by	IN
the	DT
work	NN
of	IN
our	PRP$
own	JJ
hands	NNS
or	CC
by	IN
the	DT
cleverness	NN
of	IN
our	PRP$
own	JJ
brains	NNS
.	.
"	``
"	``
i	PRP
do	VBP
n't	RB
understand	VB
you	PRP
,	,
"	''
said	VBD
the	DT
puppet	NN
who	WP
was	VBD
already	RB
trembling	VBG
with	IN
fear	NN
.	.
"	``
have	VB
patience	NN
!	.
i	PRP
will	MD
explain	VB
myself	PRP
better	RBR
,	,
"	''
rejoined	VBD
the	DT
parrot	NN
.	.
"	``
you	PRP
must	MD
know	VB
,	,
then	RB
,	,
that	IN
whilst	IN
you	PRP
were	VBD
in	IN
the	DT
town	NN
the	DT
fox	NN
and	CC
the	DT
cat	NN
returned	VBD
to	IN
the	DT
field	NN
;	:
they	PRP
took	VBD
the	DT
buried	VBN
money	NN
and	CC
then	RB
fled	VBD
like	IN
the	DT
wind	NN
.	.
and	CC
now	RB
he	PRP
that	WDT
catches	VBZ
them	PRP
will	MD
be	VB
clever	JJ
.	.
"	''
pinocchio	NNP
remained	VBD
with	IN
his	PRP$
mouth	NN
open	JJ
,	,
and	CC
not	RB
choosing	VBG
to	TO
believe	VB
the	DT
parrot	NN
's	POS
words	NNS
he	PRP
began	VBD
with	IN
his	PRP$
hands	NNS
and	CC
nails	NNS
to	TO
dig	VB
up	RP
the	DT
earth	NN
that	WDT
he	PRP
had	VBD
watered	VBN
.	.
and	CC
he	PRP
dug	VBD
,	,
and	CC
dug	VBD
,	,
and	CC
