there	EX
are	VBP
many	JJ
beths	NNS
in	IN
the	DT
world	NN
,	,
shy	JJ
and	CC
quiet	JJ
,	,
sitting	VBG
in	IN
corners	NNS
till	IN
needed	VBN
,	,
and	CC
living	VBG
for	IN
others	NNS
so	RB
cheerfully	RB
that	IN
no	DT
one	NN
sees	VBZ
the	DT
sacrifices	NNS
till	IN
the	DT
little	JJ
cricket	NN
on	IN
the	DT
hearth	NN
stops	VBZ
chirping	VBG
,	,
and	CC
the	DT
sweet	JJ
,	,
sunshiny	JJ
presence	NN
vanishes	VBZ
,	,
leaving	VBG
silence	NN
and	CC
shadow	NN
behind	RB
.	.
her	PRP$
little	JJ
airs	NNS
and	CC
graces	NNS
were	VBD
much	RB
admired	VBN
,	,
so	RB
were	VBD
her	PRP$
accomplishments	NNS
,	,
for	IN
besides	IN
her	PRP$
drawing	NN
,	,
she	PRP
could	MD
play	VB
twelve	CD
tunes	NNS
,	,
crochet	VB
,	,
and	CC
read	VB
french	NNP
without	IN
mispronouncing	VBG
more	JJR
than	IN
two	CD
-	HYPH
thirds	NNS
of	IN
the	DT
words	NNS
.	.
she	PRP
had	VBD
a	DT
plaintive	JJ
way	NN
of	IN
saying	VBG
,	,
"	``
when	WRB
papa	NNP
was	VBD
rich	JJ
we	PRP
did	VBD
so	NN
-	HYPH
and	CC
-	HYPH
so	NN
,	,
"	''
which	WDT
was	VBD
very	RB
touching	JJ
,	,
and	CC
her	PRP$
long	JJ
words	NNS
were	VBD
considered	VBN
'	``
perfectly	RB
elegant	JJ
'	''
by	IN
the	DT
girls	NNS
.	.
amy	NNP
was	VBD
in	IN
a	DT
fair	JJ
way	NN
to	TO
be	VB
spoiled	VBN
,	,
for	IN
everyone	NN
petted	VBD
her	PRP
,	,
and	CC
her	PRP$
small	JJ
vanities	NNS
and	CC
selfishnesses	NNS
were	VBD
growing	VBG
nicely	RB
.	.
one	CD
thing	NN
,	,
however	RB
,	,
rather	RB
quenched	VBD
the	DT
vanities	NNS
.	.
she	PRP
had	VBD
to	TO
wear	VB
her	PRP$
cousin	NN
's	POS
clothes	NNS
.	.
now	RB
florence	NNP
's	POS
mama	NN
had	VBD
n't	RB
a	DT
particle	NN
of	IN
taste	NN
,	,
and	CC
amy	NNP
suffered	VBD
deeply	RB
at	IN
having	VBG
to	TO
wear	VB
a	DT
red	JJ
instead	RB
of	IN
a	DT
blue	JJ
bonnet	NN
,	,
unbecoming	JJ
gowns	NNS
,	,
and	CC
fussy	JJ
aprons	NNS
that	WDT
did	VBD
not	RB
fit	VB
.	.
everything	NN
was	VBD
good	JJ
,	,
well	RB
made	VBN
,	,
and	CC
little	RB
worn	VBN
,	,
but	CC
amy	NNP
's	POS
artistic	JJ
eyes	NNS
were	VBD
much	RB
afflicted	VBN
,	,
especially	RB
this	DT
winter	NN
,	,
when	WRB
her	PRP$
school	NN
dress	NN
was	VBD
a	DT
dull	JJ
purple	NN
with	IN
yellow	JJ
dots	NNS
and	CC
no	DT
trimming	NN
.	.
"	``
my	PRP$
only	JJ
comfort	NN
,	,
"	''
she	PRP
said	VBD
to	IN
meg	NNP
,	,
with	IN
tears	NNS
in	IN
her	PRP$
eyes	NNS
,	,
"	``
is	VBZ
that	IN
mother	NN
does	VBZ
n't	RB
take	VB
tucks	NNS
in	IN
my	PRP$
dresses	NNS
whenever	WRB
iam	PRP
naughty	JJ
,	,
as	IN
maria	NNP
parks	NNP
's	POS
mother	NN
does	VBZ
.	.
my	PRP$
dear	NN
,	,
it	PRP
is	VBZ
really	RB
dreadful	JJ
,	,
for	IN
sometimes	RB
she	PRP
is	VBZ
so	RB
bad	JJ
her	PRP$
frock	NN
is	VBZ
up	IN
to	IN
her	PRP$
knees	NNS
,	,
and	CC
she	PRP
ca	MD
n't	RB
come	VB
to	IN
school	NN
.	.
when	WRB
i	PRP
think	VBP
of	IN
this	DT
deggerredation	NN
,	,
i	PRP
feel	VBP
that	IN
i	PRP
can	MD
bear	VB
even	RB
my	PRP$
flat	JJ
nose	NN
and	CC
purple	JJ
gown	NN
with	IN
yellow	JJ
sky	NN
-	HYPH
rockets	NNS
on	IN
it	PRP
.	.
"	''
meg	NNP
was	VBD
amy	NNP
's	POS
confidant	NN
and	CC
monitor	NN
,	,
and	CC
by	IN
some	DT
strange	JJ
attraction	NN
of	IN
opposites	NNS
jo	NNP
was	VBD
gentle	NNP
beth	NNP
's	POS
.	.
to	IN
jo	NNP
alone	RB
did	VBD
the	DT
shy	JJ
child	NN
tell	VB
her	PRP
thoughts	NNS
,	,
and	CC
over	IN
her	PRP$
big	JJ
harum	NNP
-	HYPH
scarum	JJ
sister	NN
beth	NNP
unconsciously	RB
exercised	VBD
more	JJR
influence	NN
than	IN
anyone	NN
in	IN
the	DT
family	NN
