“	``
oars	NNS
!	.
oars	NNS
!	.
”	''
he	PRP
intensely	RB
whispered	VBD
,	,
seizing	VBG
the	DT
helm—“gripe	VB
your	PRP$
oars	NNS
,	,
and	CC
clutch	VB
your	PRP$
souls	NNS
,	,
now	RB
!	.
my	PRP$
god	NNP
,	,
men	NNS
,	,
stand	VB
by	RB
!	.
shove	VB
him	PRP
off	RP
,	,
you	PRP
queequeg	FW
—	:
the	DT
whale	NN
there!—prick	VB
him!—hit	:
him	PRP
!	.
stand	VB
up	RP
—	:
stand	VB
up	RP
,	,
and	CC
stay	VB
so	RB
!	.
spring	VB
,	,
men	NNS
—	:
pull	VB
,	,
men	NNS
;	:
never	RB
mind	VB
their	PRP$
backs	NNS
—	:
scrape	VB
them!—scrape	VB
away	RB
!	.
”	''
the	DT
boat	NN
was	VBD
now	RB
all	DT
but	CC
jammed	VBN
between	IN
two	CD
vast	JJ
black	JJ
bulks	NNS
,	,
leaving	VBG
a	DT
narrow	JJ
dardanelles	NN
between	IN
their	PRP$
long	JJ
lengths	NNS
.	.
but	CC
by	IN
desperate	JJ
endeavor	NN
we	PRP
at	IN
last	RB
shot	VBD
into	IN
a	DT
temporary	JJ
opening	NN
;	:
then	RB
giving	VBG
way	NN
rapidly	RB
,	,
and	CC
at	IN
the	DT
same	JJ
time	NN
earnestly	RB
watching	VBG
for	IN
another	DT
outlet	NN
.	.
after	IN
many	JJ
similar	JJ
hair	NN
-	HYPH
breadth	NN
escapes	NNS
,	,
we	PRP
at	IN
last	RB
swiftly	RB
glided	VBD
into	IN
what	WP
had	VBD
just	RB
been	VBN
one	CD
of	IN
the	DT
outer	JJ
circles	NNS
,	,
but	CC
now	RB
crossed	VBN
by	IN
random	JJ
whales	NNS
,	,
all	DT
violently	RB
making	VBG
for	IN
one	CD
centre	NN
.	.
this	DT
lucky	JJ
salvation	NN
was	VBD
cheaply	RB
purchased	VBN
by	IN
the	DT
loss	NN
of	IN
queequeg	NNP
’s	POS
hat	NN
,	,
who	WP
,	,
while	IN
standing	VBG
in	IN
the	DT
bows	NNS
to	TO
prick	VB
the	DT
fugitive	JJ
whales	NNS
,	,
had	VBD
his	PRP$
hat	NN
taken	VBN
clean	JJ
from	IN
his	PRP$
head	NN
by	IN
the	DT
air	NN
-	HYPH
eddy	NN
made	VBN
by	IN
the	DT
sudden	JJ
tossing	NN
of	IN
a	DT
pair	NN
of	IN
broad	JJ
flukes	NNS
close	RB
by	RB
.	.
the	DT
result	NN
of	IN
this	DT
lowering	NN
was	VBD
somewhat	RB
illustrative	JJ
of	IN
that	DT
sagacious	JJ
saying	NN
in	IN
the	DT
fishery,—the	NN
more	JJR
whales	NNS
the	DT
less	JJR
fish	NN
.	.
of	IN
all	PDT
the	DT
drugged	VBN
whales	NNS
only	RB
one	CD
was	VBD
captured	VBN
.	.
the	DT
rest	NN
contrived	VBD
to	TO
escape	VB
for	IN
the	DT
time	NN
,	,
but	CC
only	RB
to	TO
be	VB
taken	VBN
,	,
as	IN
will	MD
hereafter	RB
be	VB
seen	VBN
,	,
by	IN
some	DT
other	JJ
craft	NN
than	IN
the	DT
pequod	NNP
.	.
chapter	NN
88	CD
.	.
schools	NNS
and	CC
schoolmasters	NNS
.	.
the	DT
previous	JJ
chapter	NN
gave	VBD
account	NN
of	IN
an	DT
immense	JJ
body	NN
or	CC
herd	NN
of	IN
sperm	NN
whales	NNS
,	,
and	CC
there	EX
was	VBD
also	RB
then	RB
given	VBN
the	DT
probable	JJ
cause	NN
