*	NFP
the	DT
mutineers	NNS
were	VBD
soon	RB
only	RB
eight	CD
in	IN
number	NN
,	,
for	IN
the	DT
man	NN
shot	VBN
by	IN
mr	NNP
.	NNP
trelawney	NNP
on	IN
board	NN
the	DT
schooner	NN
died	VBD
that	DT
same	JJ
evening	NN
of	IN
his	PRP$
wound	NN
.	.
but	CC
this	DT
was	VBD
,	,
of	IN
course	NN
,	,
not	RB
known	VBN
till	IN
after	RB
by	IN
the	DT
faithful	JJ
party	NN
.	.
part	NN
five	CD
my	PRP$
sea	NNP
adventure	NNP
22	CD
how	WRB
my	PRP$
sea	NN
adventure	NN
began	VBD
there	EX
was	VBD
no	DT
return	NN
of	IN
the	DT
mutineers	NNS
not	RB
so	RB
much	RB
as	IN
another	DT
shot	VBN
out	IN
of	IN
the	DT
woods	NNS
.	.
they	PRP
had	VBD
“	``
got	VBN
their	PRP$
rations	NNS
for	IN
that	DT
day	NN
,	,
”	''
as	IN
the	DT
captain	NN
put	VBD
it	PRP
,	,
and	CC
we	PRP
had	VBD
the	DT
place	NN
to	IN
ourselves	PRP
and	CC
a	DT
quiet	JJ
time	NN
to	TO
overhaul	VB
the	DT
wounded	VBN
and	CC
get	VB
dinner	NN
.	.
squire	NNP
and	CC
i	PRP
cooked	VBD
outside	RB
in	IN
spite	NN
of	IN
the	DT
danger	NN
,	,
and	CC
even	RB
outside	RB
we	PRP
could	MD
hardly	RB
tell	VB
what	WP
we	PRP
were	VBD
at	IN
,	,
for	IN
horror	NN
of	IN
the	DT
loud	JJ
groans	NNS
that	WDT
reached	VBD
us	PRP
from	IN
the	DT
doctor	NN
's	POS
patients	NNS
.	.
as	IN
for	IN
the	DT
captain	NN
,	,
his	PRP$
wounds	NNS
were	VBD
grievous	JJ
indeed	RB
,	,
but	CC
not	RB
dangerous	JJ
.	.
no	DT
organ	NN
was	VBD
fatally	RB
injured	VBN
.	.
anderson	NNP
's	POS
ball	NN
for	IN
it	PRP
was	VBD
job	NN
that	WDT
shot	VBD
him	PRP
first	RB
had	VBD
broken	VBN
his	PRP$
shoulder	NN
-	HYPH
blade	NN
and	CC
touched	VBD
the	DT
lung	NN
,	,
not	RB
badly	RB
;	:
the	DT
second	JJ
had	VBD
only	RB
torn	VBN
and	CC
displaced	VBN
some	DT
muscles	NNS
in	IN
the	DT
calf	NN
.	.
he	PRP
was	VBD
sure	JJ
to	TO
recover	VB
,	,
the	DT
doctor	NN
said	VBD
,	,
but	CC
in	IN
the	DT
meantime	NN
,	,
and	CC
for	IN
weeks	NNS
to	TO
come	VB
,	,
he	PRP
must	MD
not	RB
walk	VB
nor	CC
move	VB
his	PRP$
arm	NN
,	,
nor	CC
so	RB
much	RB
as	IN
speak	VB
when	WRB
he	PRP
could	MD
help	VB
it	PRP
.	.
my	PRP$
own	JJ
accidental	JJ
cut	NN
across	IN
the	DT
knuckles	NNS
was	VBD
a	DT
flea	NN
-	HYPH
bite	NN
.	.
doctor	NNP
livesey	NNP
patched	VBD
it	PRP
up	RP
with	IN
plaster	NN
and	CC
pulled	VBD
my	PRP$
ears	NNS
for	IN
me	PRP
into	IN
the	DT
bargain	NN
.	.
after	IN
dinner	NN
the	DT
squire	NN
and	CC
the	DT
doctor	NN
sat	VBD
by	IN
the	DT
captain	NN
's	POS
side	NN
awhile	RB
in	IN
consultation	NN
;	:
and	CC
when	WRB
they	PRP
had	VBD
talked	VBN
to	IN
their	PRP$
hearts	NNS
'	POS
content	NN
,	,
it	PRP
being	VBG
then	RB
a	DT
little	JJ
past	IN
noon	NN
,	,
the	DT
doctor	NN
took	VBD
up	RP
his	PRP$
hat	NN
and	CC
pistols	NNS
,	,
girt	NN
on	IN
a	DT
cutlass	NN
,	,
put	VB
the	DT
chart	NN
in	IN
his	PRP$
pocket	NN
,	,
and	CC
with	IN
a	DT
musket	NN
over	IN
his	PRP$
shoulder	NN
crossed	VBD
the	DT
palisade	NN
on	IN
the	DT
north	JJ
side	NN
and	CC
set	VBD
off	RP
briskly	RB
through	IN
the	DT
trees	NNS
.	.
gray	NNP
and	CC
i	PRP
were	VBD
sitting	VBG
together	RB
at	IN
the	DT
far	JJ
end	NN
of	IN
the	DT
block	NN
house	NN
,	,
to	TO
be	VB
out	IN
of	IN
earshot	NN
of	IN
our	PRP$
officers	NNS
consulting	VBG
;	:
and	CC
gray	NNP
took	VBD
his	PRP$
pipe	NN
out	IN
of	IN
his	PRP$
mouth	NN
and	CC
fairly	RB
forgot	VBD
to	TO
put	VB
it	PRP
back	RB
again	RB
,	,
so	RB
thunder	NN
-	HYPH
struck	JJ
he	PRP
was	VBD
at	IN
this	DT
occurrence	NN
.	.
“	``
why	WRB
,	,
in	IN
the	DT
name	NN
of	IN
davy	NNP
jones	NNP
,	,
”	''
said	VBD
he	PRP
,	,
“	``
is	VBZ
dr	NNP
.	NNP
livesey	NNP
mad	JJ
?	.
”	''
“	``
why	WRB
no	RB
,	,
”	''
says	VBZ
i.	.
“	``
he	PRP
's	VBZ
about	IN
the	DT
last	JJ
of	IN
this	DT
crew	NN
for	IN
that	DT
,	,
i	PRP
take	VBP
it	PRP
.	.
”	''
“	``
well	UH
,	,
shipmate	NN
,	,
”	''
said	VBD
gray	NNP
,	,
“	``
mad	JJ
he	PRP
may	MD
not	RB
be	VB
;	:
but	CC
if	IN
he	PRP
's	VBZ
not	RB
,	,
you	PRP
mark	VBP
my	PRP$
words	NNS
,	,
i	PRP
am	VBP
.	.
”	''
“	``
i	PRP
take	VBP
it	PRP
,	,
”	''
replied	VBD
i	PRP
,	,
“	``
the	DT
doctor	NN
has	VBZ
his	PRP$
idea	NN
;	:
and	CC
if	IN
i	PRP
am	VBP
right	JJ
,	,
he	PRP
's	VBZ
going	VBG
now	RB
to	TO
see	VB
ben	NNP
gunn	NNP
.	.
”	''
all	PDT
the	DT
time	NN
i	PRP
was	VBD
washing	VBG
out	RP
the	DT
block	NN
house	NN
,	,
and	CC
then	RB
washing	VBG
up	RP
the	DT
things	NNS
from	IN
dinner	NN
,	,
this	DT
disgust	NN
and	CC
envy	NN
kept	VBD
growing	VBG
stronger	JJR
and	CC
stronger	JJR
,	,
till	IN
at	IN
last	RB
,	,
being	VBG
near	IN
a	DT
bread	NN
-	HYPH
bag	NN
,	,
and	CC
no	DT
one	NN
then	RB
observing	VBG
me	PRP
,	,
i	PRP
took	VBD
the	DT
first	JJ
step	NN
towards	IN
my	PRP$
escapade	NN
and	CC
filled	VBD
both	DT
pockets	NNS
of	IN
my	PRP$
coat	NN
with	IN
biscuit	NN
.	.
i	PRP
was	VBD
a	DT
fool	NN
,	,
if	IN
you	PRP
like	VBP
,	,
and	CC
certainly	RB
i	PRP
was	VBD
going	VBG
to	TO
do	VB
a	DT
foolish	JJ
,	,
over	JJ
-	HYPH
bold	JJ
act	NN
;	:
but	CC
i	PRP
was	VBD
determined	VBN
to	TO
do	VB
it	PRP
with	IN
all	PDT
the	DT
precautions	NNS
in	IN
my	PRP$
power	NN
.	.
these	DT
biscuits	NNS
,	,
should	MD
anything	NN
befall	VB
me	PRP
,	,
would	MD
keep	VB
me	PRP
,	,
at	IN
least	JJS
,	,
from	IN
starving	VBG
till	IN
far	RB
on	RB
in	IN
the	DT
