when	WRB
her	PRP$
husband	NN
was	VBD
brought	VBN
in	RB
,	,
she	PRP
turned	VBD
a	DT
look	NN
upon	IN
him	PRP
,	,
so	RB
sustaining	JJ
,	,
so	RB
encouraging	JJ
,	,
so	RB
full	JJ
of	IN
admiring	JJ
love	NN
and	CC
pitying	JJ
tenderness	NN
,	,
yet	CC
so	RB
courageous	JJ
for	IN
his	PRP$
sake	NN
,	,
that	IN
it	PRP
called	VBD
the	DT
healthy	JJ
blood	NN
into	IN
his	PRP$
face	NN
,	,
brightened	VBD
his	PRP$
glance	NN
,	,
and	CC
animated	VBD
his	PRP$
heart	NN
.	.
if	IN
there	EX
had	VBD
been	VBN
any	DT
eyes	NNS
to	TO
notice	VB
the	DT
influence	NN
of	IN
her	PRP$
look	NN
,	,
on	IN
sydney	NNP
carton	NN
,	,
it	PRP
would	MD
have	VB
been	VBN
seen	VBN
to	TO
be	VB
the	DT
same	JJ
influence	NN
exactly	RB
.	.
before	IN
that	DT
unjust	JJ
tribunal	NN
,	,
there	EX
was	VBD
little	JJ
or	CC
no	DT
order	NN
of	IN
procedure	NN
,	,
ensuring	VBG
to	IN
any	DT
accused	VBN
person	NN
any	DT
reasonable	JJ
hearing	NN
.	.
there	EX
could	MD
have	VB
been	VBN
no	DT
such	JJ
revolution	NN
,	,
if	IN
all	DT
laws	NNS
,	,
forms	NNS
,	,
and	CC
ceremonies	NNS
,	,
had	VBD
not	RB
first	RB
been	VBN
so	RB
monstrously	RB
abused	VBN
,	,
that	IN
the	DT
suicidal	JJ
vengeance	NN
of	IN
the	DT
revolution	NN
was	VBD
to	TO
scatter	VB
them	PRP
all	DT
to	IN
the	DT
winds	NNS
.	.
every	DT
eye	NN
was	VBD
turned	VBN
to	IN
the	DT
jury	NN
.	.
the	DT
same	JJ
determined	JJ
patriots	NNS
and	CC
good	JJ
republicans	NNPS
as	IN
yesterday	NN
and	CC
the	DT
day	NN
before	RB
,	,
and	CC
to	IN
-	HYPH
morrow	NN
and	CC
the	DT
day	NN
after	RB
.	.
eager	JJ
and	CC
prominent	JJ
among	IN
them	PRP
,	,
one	CD
man	NN
with	IN
a	DT
craving	VBG
face	NN
,	,
and	CC
his	PRP$
fingers	NNS
perpetually	RB
hovering	VBG
about	IN
his	PRP$
lips	NNS
,	,
whose	WP$
appearance	NN
gave	VBD
great	JJ
satisfaction	NN
to	IN
the	DT
spectators	NNS
.	.
a	DT
life	NN
-	HYPH
thirsting	VBG
,	,
cannibal	NN
-	HYPH
looking	JJ
,	,
bloody	JJ
-	HYPH
minded	JJ
juryman	NN
,	,
the	DT
jacques	NNP
three	NNP
of	IN
st	NNP
.	NNP
antoine	NNP
.	.
the	DT
whole	JJ
jury	NN
,	,
as	IN
a	DT
jury	NN
of	IN
dogs	NNS
empannelled	VBD
to	TO
try	VB
the	DT
deer	NN
.	.
every	DT
eye	NN
then	RB
turned	VBD
to	IN
the	DT
five	CD
judges	NNS
and	CC
the	DT
public	JJ
prosecutor	NN
.	.
no	DT
favourable	JJ
leaning	NN
in	IN
that	DT
quarter	NN
to	IN
-	HYPH
day	NN
.	.
a	DT
fell	JJ
,	,
uncompromising	JJ
,	,
murderous	JJ
business	NN
-	HYPH
meaning	NN
there	RB
.	.
every	DT
eye	NN
then	RB
sought	VBD
some	DT
other	JJ
eye	NN
in	IN
the	DT
crowd	NN
,	,
and	CC
gleamed	VBD
at	IN
it	PRP
approvingly	RB
;	:
and	CC
heads	NNS
nodded	VBD
at	IN
one	CD
another	DT
,	,
before	IN
bending	VBG
forward	RB
with	IN
a	DT
strained	JJ
attention	NN
.	.
charles	NNP
evremonde	NNP
,	,
called	VBN
darnay	NNP
.	.
released	VBN
yesterday	NN
.	.
reaccused	VBN
and	CC
retaken	VBN
yesterday	NN
.	.
indictment	NN
delivered	VBN
to	IN
him	PRP
last	JJ
night	NN
.	.
suspected	VBN
and	CC
denounced	VBN
enemy	NN
of	IN
the	DT
republic	NNP
,	,
aristocrat	NN
,	,
one	CD
of	IN
a	DT
family	NN
of	IN
tyrants	NNS
,	,
one	CD
of	IN
a	DT
race	NN
proscribed	VBN
,	,
for	IN
that	IN
they	PRP
had	VBD
used	VBN
their	PRP$
abolished	VBN
privileges	NNS
to	IN
the	DT
infamous	JJ
oppression	NN
of	IN
the	DT
people	NNS
.	.
charles	NNP
evremonde	NNP
,	,
called	VBN
darnay	NNP
,	,
in	IN
right	NN
of	IN
such	JJ
proscription	NN
,	,
absolutely	RB
dead	JJ
in	IN
law	NN
.	.
to	IN
this	DT
effect	NN
,	,
in	IN
as	RB
few	JJ
or	CC
fewer	JJR
words	NNS
,	,
the	DT
public	JJ
prosecutor	NN
.	.
the	DT
president	NN
asked	VBD
,	,
was	VBD
the	DT
accused	VBN
openly	RB
denounced	VBN
or	CC
secretly	RB
?	.
“	``
openly	RB
,	,
president	NN
.	.
”	''
“	``
by	IN
whom	WP
?	.
”	''
“	``
three	CD
voices	NNS
.	.
ernest	NNP
defarge	NNP
,	,
wine	NN
-	HYPH
vendor	NN
of	IN
st	NNP
.	NNP
antoine	NNP
.	.
”	''
“	``
good	JJ
.	.
”	''
“	``
therese	NNP
defarge	NNP
,	,
his	PRP$
wife	NN
.	.
”	''
“	``
good	JJ
.	.
”	''
“	``
alexandre	NNP
manette	NNP
,	,
physician	NN
.	.
”	''
a	DT
great	JJ
uproar	NN
took	VBD
place	NN
in	IN
the	DT
court	NN
,	,
and	CC
in	IN
the	DT
midst	NN
of	IN
it	PRP
,	,
doctor	NNP
manette	NNP
was	VBD
seen	VBN
,	,
pale	JJ
and	CC
trembling	JJ
,	,
standing	VBG
where	WRB
he	PRP
had	VBD
been	VBN
seated	VBN
.	.
“	``
president	NNP
,	,
i	PRP
indignantly	RB
protest	VBP
to	IN
you	PRP
that	IN
this	DT
is	VBZ
a	DT
forgery	NN
and	CC
a	DT
fraud	NN
.	.
you	PRP
know	VBP
the	DT
accused	VBN
to	TO
be	VB
the	DT
husband	NN
of	IN
my	PRP$
daughter	NN
.	.
my	PRP$
daughter	NN
,	,
and	CC
those	DT
dear	JJ
to	IN
her	PRP
,	,
are	VBP
far	RB
dearer	JJR
to	IN
me	PRP
than	IN
my	PRP$
life	NN
.	.
who	WP
and	CC
where	WRB
is	VBZ
the	DT
false	JJ
conspirator	NN
who	WP
says	VBZ
that	IN
i	PRP
denounce	VBP
the	DT
husband	NN
of	IN
my	PRP$
child	NN
!	.
”	''
“	``
citizen	NNP
manette	NNP
,	,
be	VB
tranquil	JJ
.	.
to	TO
fail	VB
in	IN
submission	NN
to	IN
the	DT
authority	NN
of	IN
the	DT
tribunal	NN
would	MD
be	VB
to	TO
put	VB
yourself	PRP
out	IN
of	IN
law	NN
.	.
as	IN
to	IN
what	WP
is	VBZ
dearer	JJR
to	IN
you	PRP
than	IN
life	NN
,	,
nothing	NN
can	MD
be	VB
so	RB
