what	WDT
an	DT
era	NN
in	IN
the	DT
history	NN
of	IN
a	DT
country	NN
!	.
gentlewomen	NNS
whose	WP$
homes	NNS
had	VBD
been	VBN
in	IN
the	DT
peaceful	JJ
hamlets	NNS
of	IN
england	NNP
lived	VBD
and	CC
died	VBD
in	IN
the	DT
face	NN
of	IN
a	DT
cruel	JJ
foe	NN
,	,
yet	RB
prepared	VBD
the	DT
cloth	NN
and	CC
clothing	NN
for	IN
their	PRP$
families	NNS
,	,
fed	VBD
them	PRP
,	,
and	CC
taught	VBD
them	PRP
to	TO
look	VB
to	IN
god	NNP
in	IN
all	DT
times	NNS
of	IN
trouble	NN
,	,
to	TO
be	VB
prayerful	JJ
in	IN
their	PRP$
daily	JJ
lives	NNS
,	,
yet	CC
vigilant	JJ
and	CC
ready	JJ
to	TO
deal	VB
death	NN
to	IN
the	DT
general	JJ
enemy	NN
.	.
they	PRP
were	VBD
the	DT
mothers	NNS
whose	WP$
sons	NNS
and	CC
grandsons	NNS
laid	VBD
the	DT
huge	JJ
foundations	NNS
of	IN
a	DT
great	JJ
nation	NN
and	CC
cemented	VBD
them	PRP
with	IN
their	PRP$
blood	NN
.	.
at	IN
this	DT
time	NN
there	EX
was	VBD
a	DT
line	NN
of	IN
battle	NN
three	CD
hundred	CD
miles	NNS
in	IN
length	NN
.	.
on	IN
one	CD
side	NN
the	DT
white	JJ
man	NN
went	VBD
armed	JJ
to	IN
the	DT
field	NN
or	CC
the	DT
prayer	NN
-	HYPH
meeting	NN
,	,
shooting	VBG
an	DT
indian	NNP
on	IN
sight	NN
as	IN
he	PRP
would	MD
a	DT
panther	NN
;	:
on	IN
the	DT
other	JJ
,	,
a	DT
foe	NN
whose	WP$
wife	NN
did	VBD
the	DT
chores	NNS
and	CC
hoed	VBD
the	DT
scattering	VBG
crops	NNS
while	IN
he	PRP
made	VBD
war	NN
and	CC
extermination	NN
his	PRP$
joy	NN
by	IN
night	NN
and	CC
his	PRP$
prayer	NN
and	CC
life	NN
-	HYPH
long	JJ
purpose	NN
by	IN
day	NN
.	.
finally	RB
,	,
however	RB
,	,
the	DT
victory	NN
came	VBD
sluggishly	RB
to	IN
the	DT
brave	JJ
and	CC
deserving	JJ
.	.
one	CD
thousand	CD
indians	NNPS
were	VBD
killed	VBN
at	IN
one	CD
pop	NN
,	,
and	CC
their	PRP$
wigwams	NNS
were	VBD
burned	VBN
.	.
all	DT
their	PRP$
furniture	NN
and	CC
curios	NNS
were	VBD
burned	VBN
in	IN
their	PRP$
wigwams	NNS
,	,
and	CC
some	DT
of	IN
their	PRP$
valuable	JJ
dogs	NNS
were	VBD
holocausted	VBN
.	.
king	NNP
philip	NNP
was	VBD
shot	VBN
by	IN
a	DT
follower	NN
as	IN
he	PRP
was	VBD
looking	VBG
under	IN
the	DT
throne	NN
for	IN
something	NN
,	,
and	CC
peace	NN
was	VBD
for	IN
the	DT
time	NN
declared	VBN
.	.
as	IN
a	DT
result	NN
,	,
the	DT
colony	NN
was	VBD
made	VBN
a	DT
royal	JJ
appendage	NN
,	,
and	CC
sir	NNP
edmund	NNP
andros	NNP
,	,
a	DT
political	JJ
hack	NN
under	IN
james	NNP
ii	NNP
.	NNP
,	,
was	VBD
made	VBN
governor	NN
of	IN
new	NNP
england	NNP
.	.
he	PRP
reigned	VBD
under	IN
great	JJ
difficulties	NNS
for	IN
three	CD
years	NNS
,	,
and	CC
then	RB
suddenly	RB
found	VBD
himself	PRP
in	IN
jail	NN
.	.
the	DT
jail	NN
was	VBD
so	RB
arranged	VBN
that	IN
he	PRP
could	MD
not	RB
get	VB
out	RP
,	,
and	CC
so	RB
the	DT
puritans	NNPS
now	RB
quietly	RB
resumed	VBD
their	PRP$
old	JJ
form	NN
of	IN
government	NN
.	.
this	DT
continued	VBD
also	RB
for	IN
three	CD
years	NNS
,	,
when	WRB
sir	NNP
william	NNP
phipps	NNP
became	VBD
governor	NN
under	IN
the	DT
crown	NN
,	,
with	IN
one	CD
hundred	CD
and	CC
twenty	CD
pounds	NNS
per	IN
annum	FW
and	CC
house	NN
-	HYPH
rent	NN
.	.
from	IN
this	DT
on	IN
to	IN
the	DT
revolution	NN
,	,
massachusetts	NNP
,	,
maine	NNP
,	,
and	CC
nova	NNP
scotia	NNP
became	VBD
a	DT
royal	JJ
province	NN
.	.
nova	NNP
scotia	NNP
is	VBZ
that	DT
way	NN
yet	RB
,	,
and	CC
has	VBZ
to	TO
go	VB
to	IN
boston	NNP
for	IN
her	PRP$
groceries	NNS
.	.
the	DT
year	NN
1692	CD
is	VBZ
noted	VBN
mostly	RB
for	IN
the	DT
salem	NNP
excitement	NN
regarding	VBG
witchcraft	NN
.	.
the	DT
children	NNS
of	IN
rev	NNP
.	NNP
mr	NNP
.	NNP
parris	NNP
were	VBD
attacked	VBN
with	IN
some	DT
peculiar	JJ
disease	NN
which	WDT
would	MD
not	RB
yield	VB
to	IN
the	DT
soothing	VBG
blisters	NNS
and	CC
bleedings	NNS
administered	VBN
by	IN
the	DT
physicians	NNS
of	IN
the	DT
old	JJ
school	NN
,	,
and	CC
so	RB
,	,
not	RB
knowing	VBG
exactly	RB
what	WP
to	TO
do	VB
about	IN
it	PRP
,	,
the	DT
doctors	NNS
concluded	VBD
that	IN
they	PRP
were	VBD
bewitched	VBN
.	.
then	RB
it	PRP
was	VBD
,	,
of	IN
course	NN
,	,
the	DT
duty	NN
of	IN
the	DT
courts	NNS
and	CC
selectmen	NNS
to	TO
hunt	VB
up	RP
the	DT
witches	NNS
.	.
this	DT
was	VBD
naturally	RB
difficult	JJ
.	.
fifty	CD
-	HYPH
five	CD
persons	NNS
were	VBD
tortured	VBN
and	CC
twenty	CD
were	VBD
hanged	VBN
for	IN
being	VBG
witches	NNS
;	:
which	WDT
proves	VBZ
that	IN
the	DT
people	NNS
of	IN
salem	NNP
were	VBD
fully	RB
abreast	JJ
of	IN
the	DT
indians	NNPS
in	IN
intelligence	NN
,	,
and	CC
that	IN
their	PRP$
gospel	NNP
privileges	NNS
had	VBD
not	RB
given	VBN
their	PRP$
charity	NN
and	CC
christian	JJ
love	NN
such	PDT
a	DT
boom	NN
as	IN
they	PRP
should	MD
have	VB
done	VBN
.	.
one	CD
can	MD
hardly	RB
be	VB
found	VBN
now	RB
,	,
even	RB
in	IN
salem	NNP
,	,
who	WP
believes	VBZ
in	IN
witchcraft	NN
;	:
though	IN
the	DT
cape	NNP
cod	NNP
people	NNS
,	,
it	PRP
is	VBZ
said	VBN
,	,
still	RB
spit	VBD
on	IN
their	PRP$
bait	NN
.	.
the	DT
belief	NN
in	IN
witchcraft	NN
in	IN
those	DT
days	NNS
was	VBD
not	RB
confined	VBN
by	IN
any	DT
means	NNS
to	IN
the	DT
colonists	NNS
.	.
sir	NNP
matthew	NNP
hale	NNP
of	IN
england	NNP
,	,
one	CD
of	IN
the	DT
most	RBS
enlightened	JJ
judges	NNS
of	IN
the	DT
mother	NN
-	HYPH
country	NN
,	,
condemned	VBD
a	DT
number	NN
of	IN
people	NNS
for	IN
the	DT
offence	NN
,	,
and	CC
is	VBZ
now	RB
engaged	VBN
in	IN
doing	VBG
road	NN
-	HYPH
work	NN
on	IN
the	DT
streets	NNS
of	IN
the	DT
new	JJ
jerusalem	NNP
as	IN
a	DT
punishment	NN
for	IN
these	DT
acts	NNS
done	VBN
while	IN
on	IN
the	DT
woolsack	NNP
.	.
blackstone	NNP
himself	PRP
,	,
one	CD
of	IN
the	DT
dullest	JJS
authors	NNS
ever	RB
read	VBN
by	IN
the	DT
writer	NN
of	IN
these	DT
lines	NNS
,	,
yet	CC
a	DT
skilled	JJ
jurist	NN
,	,
with	IN
a	DT
marvellous	JJ
memory	NN
regarding	VBG
justinian	NNP
,	,
said	VBD
that	IN
,	,
to	TO
deny	VB
witchcraft	NN
was	VBD
to	TO
deny	VB
revelation	NN
.	.
"	``
be	VB
you	PRP
a	DT
witch	NN
?	.
"	''
asked	VBD
one	CD
of	IN
the	DT
judges	NNS
of	IN
massachusetts	NNP
,	,
according	VBG
to	IN
the	DT
records	NNS
now	RB
on	IN
file	NN
in	IN
the	DT
state	NN
-	HYPH
house	NN
at	IN
boston	NNP
.	.
"	``
no	UH
,	,
your	PRP$
honor	NN
,	,
"	''
was	VBD
the	DT
reply	NN
.	.
"	``
officer	NN
,	,
"	''
said	VBD
the	DT
court	NN
,	,
taking	VBG
a	DT
pinch	NN
of	IN
snuff	NN
,	,
"	``
take	VB
her	PRP
out	RP
on	IN
the	DT
tennis	NN
-	HYPH
grounds	NNS
and	CC
pull	VB
out	RP
her	PRP$
toe	NN
-	HYPH
nails	NNS
with	IN
a	DT
pair	NN
of	IN
hot	JJ
pincers	NNS
,	,
and	CC
then	RB
see	VB
what	WP
she	PRP
says	VBZ
.	.
"	''
it	PRP
was	VBD
quite	RB
common	JJ
to	TO
examine	VB
lady	NN
witches	NNS
in	IN
the	DT
regular	JJ
court	NN
and	CC
then	RB
adjourn	VB
to	IN
the	DT
tennis	NN
-	HYPH
court	NN
.	.
a	DT
great	JJ
many	JJ
were	VBD
ducked	VBN
by	IN
order	NN
of	IN
the	DT
court	NN
and	CC
hanged	VBN
up	RP
by	IN
the	DT
thumbs	NNS
,	,
in	IN
obedience	NN
to	IN
the	DT
customs	NNS
of	IN
these	DT
people	NNS
who	WP
came	VBD
to	IN
america	NNP
because	IN
they	PRP
were	VBD
persecuted	VBN
.	.
human	JJ
nature	NN
is	VBZ
the	DT
same	JJ
even	RB
to	IN
this	DT
day	NN
.	.
the	DT
writer	NN
grew	VBD
up	RP
with	IN
an	DT
irishman	NNP
who	WP
believed	VBD
that	IN
when	WRB
a	DT
man	NN
got	VBD
wealthy	JJ
enough	RB
to	TO
keep	VB
a	DT
carriage	NN
and	CC
coachman	NN
he	PRP
ought	MD
to	TO
be	VB
assassinated	VBN
and	CC
all	DT
his	PRP$
goods	NNS
given	VBN
to	IN
the	DT
poor	JJ
.	.
he	PRP
now	RB
hires	VBZ
a	DT
coachman	NN
himself	PRP
,	,
having	VBG
succeeded	VBN
in	IN
new	NNP
york	NNP
city	NNP
as	IN
a	DT
policeman	NN
;	:
but	CC
the	DT
man	NN
who	WP
comes	VBZ
to	TO
assassinate	VB
him	PRP
will	MD
find	VB
it	PRP
almost	RB
impossible	JJ
to	TO
obtain	VB
an	DT
audience	NN
with	IN
him	PRP
.	.
if	IN
you	PRP
wish	VBP
to	TO
educate	VB
a	DT
man	NN
to	TO
be	VB
a	DT
successful	JJ
oppressor	NN
,	,
with	IN
a	DT
genius	NN
for	IN
introducing	VBG
new	JJ
horrors	NNS
and	CC
novelties	NNS
in	IN
pain	NN
,	,
oppress	VB
him	PRP
early	RB
in	IN
life	NN
and	CC
do	VBP
n't	RB
give	VB
him	PRP
any	DT
reason	NN
for	IN
doing	VBG
so	RB
.	.
the	DT
idea	NN
that	IN
"	``
god	NNP
is	VBZ
love	NN
"	''
was	VBD
not	RB
popular	JJ
in	IN
those	DT
days	NNS
.	.
the	DT
early	JJ
settlers	NNS
were	VBD
so	RB
stern	JJ
even	RB
with	IN
their	PRP$
own	JJ
children	NNS
that	IN
if	IN
the	DT
indian	NNP
had	VBD
not	RB
given	VBN
the	DT
forefather	NN
something	NN
to	TO
attract	VB
his	PRP$
attention	NN
,	,
the	DT
boy	NN
crop	NN
would	MD
have	VB
been	VBN
very	RB
light	JJ
.	.
even	RB
now	RB
the	DT
philosopher	NN
is	VBZ
led	VBN
to	TO
ask	VB
,	,
regarding	VBG
the	DT
boasted	VBN
freedom	NN
of	IN
america	NNP
,	,
why	WRB
some	DT
measures	NNS
are	VBP
not	RB
taken	VBN
to	TO
put	VB
large	JJ
fly	NN
-	HYPH
screens	NNS
over	IN
it	PRP
.	.
chapter	NN
vi	CD
.	.
the	DT
episode	NN
of	IN
the	DT
charter	NNP
oak	NNP
.	.
the	DT
colonies	NNS
of	IN
maine	NNP
and	CC
new	NNP
hampshire	NNP
were	VBD
so	RB
closely	RB
associated	VBN
with	IN
that	DT
of	IN
massachusetts	NNP
that	IN
their	PRP$
history	NN
up	IN
to	IN
1820	CD
was	VBD
practically	RB
the	DT
same	JJ
.	.
shortly	RB
after	IN
the	DT
landing	NN
of	IN
the	DT
pilgrims	NNS
,	,
say	VB
two	CD
years	NNS
