who	WP
were	VBD
these	DT
twins	NNS
?	.
oh	UH
,	,
that	DT
is	VBZ
the	DT
end	NN
of	IN
the	DT
story	NN
.	.
she	PRP
was	VBD
obliged	VBN
to	TO
wander	VB
up	IN
and	CC
down	IN
the	DT
land	NN
with	IN
her	PRP$
little	JJ
ones	NNS
,	,
wrapping	VBG
her	PRP$
cloak	NN
about	IN
them	PRP
to	TO
shield	VB
them	PRP
from	IN
the	DT
weather	NN
,	,
and	CC
she	PRP
grew	VBD
very	RB
weary	JJ
and	CC
despaired	JJ
of	IN
ever	RB
raising	VBG
her	PRP$
little	JJ
boy	NN
and	CC
girl	NN
to	TO
be	VB
the	DT
fine	JJ
man	NN
and	CC
woman	NN
she	PRP
longed	VBD
to	TO
have	VB
them	PRP
.	.
"	``
stop	VB
!	.
"	''
the	DT
rustic	JJ
people	NNS
commanded	VBD
her	PRP
.	.
"	``
you	PRP
have	VBP
no	DT
right	NN
to	TO
touch	VB
our	PRP$
waters	NNS
!	.
"	''
"	``
i	PRP
only	RB
wish	VBP
to	TO
drink	VB
,	,
kind	JJ
friends	NNS
,	,
"	''
latona	NNP
explained	VBD
to	IN
them	PRP
.	.
"	``
i	PRP
thought	VBD
that	IN
water	NN
was	VBD
free	JJ
to	IN
all	DT
,	,
and	CC
my	PRP$
mouth	NN
is	VBZ
so	RB
dry	JJ
that	IN
i	PRP
can	MD
hardly	RB
speak	VB
.	.
a	DT
drink	NN
of	IN
water	NN
would	MD
be	VB
nectar	NN
to	IN
me	PRP
.	.
the	DT
gods	NNS
give	VBP
us	PRP
as	IN
common	JJ
property	NN
the	DT
sunshine	NN
,	,
the	DT
air	NN
,	,
and	CC
the	DT
streams	NNS
and	CC
i	PRP
would	MD
only	RB
share	VB
your	PRP$
pool	NN
to	TO
revive	VB
me	PRP
,	,
not	RB
to	TO
bathe	VB
in	IN
it	PRP
.	.
see	VB
how	WRB
my	PRP$
babies	NNS
,	,
too	RB
,	,
stretch	VBP
out	RP
their	PRP$
arms	NNS
to	IN
you	PRP
in	IN
pleading	NN
!	.
"	''
it	PRP
was	VBD
quite	RB
true	JJ
;	:
latona	NNP
's	POS
little	JJ
ones	NNS
were	VBD
holding	VBG
out	RP
their	PRP$
arms	NNS
in	IN
supplication	NN
,	,
but	CC
the	DT
rustics	NNS
turned	VBD
their	PRP$
heads	NNS
away	RB
.	.
they	PRP
did	VBD
more	JJR
than	IN
this	DT
.	.
they	PRP
waded	VBD
into	IN
the	DT
pool	NN
and	CC
stirred	VBD
up	RP
the	DT
water	NN
with	IN
their	PRP$
feet	NNS
so	IN
as	IN
to	TO
make	VB
it	PRP
muddy	JJ
and	CC
unfit	JJ
to	TO
drink	VB
.	.
as	IN
they	PRP
did	VBD
this	DT
they	PRP
laughed	VBD
at	IN
latona	NNP
's	POS
discomfiture	NN
and	CC
jeered	VBD
at	IN
her	PRP$
sorry	JJ
plight	NN
.	.
she	PRP
was	VBD
a	DT
long	RB
suffering	VBG
mother	NN
,	,
but	CC
she	PRP
felt	VBD
as	IN
if	IN
this	DT
unkindness	NN
was	VBD
more	JJR
than	IN
she	PRP
could	MD
bear	VB
.	.
she	PRP
lifted	VBD
her	PRP$
hands	NNS
toward	IN
the	DT
habitation	NN
of	IN
the	DT
gods	NNS
and	CC
called	VBD
to	IN
them	PRP
for	IN
help	NN
.	.
"	``
may	MD
these	DT
rustics	NNS
who	WP
refuse	VBP
to	TO
succor	VB
two	CD
children	NNS
of	IN
your	PRP$
family	NN
be	VB
punished	VBN
!	.
"	''
latona	NNP
begged	VBD
.	.
"	``
may	MD
they	PRP
never	RB
be	VB
able	JJ
to	TO
leave	VB
this	DT
pool	NN
whose	WP$
clear	JJ
waters	NNS
they	PRP
have	VBP
defiled	VBN
!	.
"	''
the	DT
company	NN
of	IN
the	DT
gods	NNS
,	,
and	CC
perhaps	RB
juno	NNP
also	RB
,	,
heard	VBD
latona	NNP
's	POS
entreaty	NN
and	CC
one	CD
of	IN
the	DT
strangest	JJS
things	NNS
of	IN
all	DT
mythology	NN
happened	VBD
.	.
the	DT
rustics	NNS
tried	VBD
to	TO
leave	VB
the	DT
pool	NN
and	CC
return	VB
to	IN
their	PRP$
basket	NN
-	HYPH
making	NN
,	,
but	CC
they	PRP
discovered	VBD
that	IN
their	PRP$
feet	NNS
had	VBD
suddenly	RB
grown	VBN
flat	JJ
and	CC
shapeless	JJ
and	CC
were	VBD
stuck	VBN
fast	RB
in	IN
the	DT
mud	NN
.	.
they	PRP
called	VBD
for	IN
help	NN
,	,
but	CC
their	PRP$
voices	NNS
were	VBD
harsh	JJ
,	,
their	PRP$
throats	NNS
bloated	JJ
,	,
and	CC
their	PRP$
mouths	NNS
had	VBD
stretched	VBN
so	IN
that	IN
they	PRP
were	VBD
unable	JJ
to	TO
form	VB
words	NNS
.	.
their	PRP$
necks	NNS
had	VBD
disappeared	VBN
and	CC
their	PRP$
heads	NNS
,	,
with	IN
great	JJ
bulging	VBG
eyes	NNS
,	,
were	VBD
joined	VBN
to	IN
their	PRP$
backs	NNS
.	.
their	PRP$
flesh	NN
was	VBD
turned	VBN
to	IN
thick	JJ
green	JJ
skin	NN
and	CC
they	PRP
could	MD
not	RB
stand	VB
erect	JJ
.	.
it	PRP
was	VBD
as	IN
latona	NNP
had	VBD
asked	VBN
.	.
these	DT
boorish	JJ
,	,
unseeing	JJ
country	NN
clowns	NNS
would	MD
never	RB
leave	VB
the	DT
slimy	JJ
water	NN
into	IN
which	WDT
they	PRP
had	VBD
stepped	VBN
,	,
for	IN
the	DT
gods	NNS
had	VBD
changed	VBN
them	PRP
into	IN
the	DT
first	JJ
frogs	NNS
.	.
"	``
this	DT
is	VBZ
indeed	RB
a	DT
terrible	JJ
punishment	NN
for	IN
so	RB
slight	JJ
an	DT
offence	NN
as	IN
ridiculing	VBG
a	DT
stranger	NN
,	,
"	''
the	DT
people	NNS
of	IN
lycia	NNP
said	VBD
to	IN
each	DT
other	JJ
as	IN
they	PRP
visited	VBD
the	DT
pools	NNS
and	CC
rivers	NNS
during	IN
the	DT
seasons	NNS
that	WDT
followed	VBD
and	CC
listened	VBD
to	IN
the	DT
continual	JJ
,	,
hoarse	JJ
croaking	NN
of	IN
the	DT
frogs	NNS
.	.
the	DT
river	NN
god	NNP
,	,
peneus	NNP
,	,
knew	VBD
them	PRP
also	RB
and	CC
so	RB
did	VBD
the	DT
lovely	JJ
nymph	NN
,	,
daphne	NNP
,	,
his	PRP$
daughter	NN
,	,
who	WP
was	VBD
never	RB
happier	JJR
than	IN
when	WRB
she	PRP
was	VBD
flying	VBG
on	IN
her	PRP$
fairy	NN
like	JJ
feet	NNS
,	,
her	PRP$
soft	JJ
green	JJ
garments	NNS
fluttering	VBG
about	IN
her	PRP
,	,
along	IN
the	DT
edge	NN
of	IN
some	DT
stream	NN
.	.
daphne	NNP
was	VBD
more	JJR
like	IN
a	DT
spirit	NN
of	IN
the	DT
woods	NNS
than	IN
a	DT
girl	NN
.	.
she	PRP
would	MD
rather	RB
live	VB
within	IN
the	DT
shadow	NN
of	IN
leaves	NNS
than	IN
under	IN
a	DT
palace	NN
roof	NN
,	,
and	CC
she	PRP
liked	VBD
better	RB
to	TO
follow	VB
the	DT
deer	NN
and	CC
gather	VB
wild	JJ
flowers	NNS
than	IN
to	TO
have	VB
any	DT
intercourse	NN
with	IN
the	DT
boys	NNS
and	CC
girls	NNS
of	IN
the	DT
villages	NNS
.	.
but	CC
she	PRP
was	VBD
unmatched	JJ
by	IN
the	DT
most	RBS
beautiful	JJ
daughter	NN
of	IN
all	DT
greece	NNP
,	,
her	PRP$
long	JJ
hair	NN
flung	VBN
loose	JJ
like	IN
a	DT
veil	NN
over	IN
her	PRP$
shoulders	NNS
,	,
her	PRP$
eyes	NNS
as	RB
soft	JJ
and	CC
shining	VBG
as	IN
stars	NNS
,	,
and	CC
her	PRP$
body	NN
as	RB
graceful	JJ
and	CC
well	RB
moulded	VBN
as	IN
some	DT
rare	JJ
vase	NN
.	.
he	PRP
had	VBD
seen	VBN
her	PRP
before	IN
moving	VBG
like	IN
a	DT
green	JJ
bough	NN
blown	VBN
by	IN
the	DT
wind	NN
along	IN
the	DT
shores	NNS
of	IN
many	JJ
waters	NNS
.	.
he	PRP
thought	VBD
that	IN
he	PRP
had	VBD
never	RB
seen	VBN
so	RB
beautiful	JJ
a	DT
creature	NN
or	CC
one	CD
so	RB
much	JJ
to	TO
be	VB
desired	VBN
,	,
but	CC
whenever	WRB
daphne	NNP
caught	VBD
a	DT
glimpse	NN
of	IN
this	DT
strange	JJ
,	,
strong	JJ
youth	NN
,	,
she	PRP
was	VBD
frightened	JJ
and	CC
was	VBD
at	IN
once	RB
off	RB
and	CC
away	RB
.	.
now	RB
,	,
though	RB
,	,
he	PRP
was	VBD
determined	JJ
to	TO
pursue	VB
daphne	NNP
and	CC
catch	VB
her	PRP
.	.
he	PRP
dropped	VBD
his	PRP$
lyre	NN
and	CC
ran	VBD
after	IN
her	PRP
,	,
but	CC
she	PRP
eluded	VBD
him	PRP
,	,
running	VBG
more	RBR
swiftly	RB
than	IN
the	DT
wind	NN
.	.
"	``
stay	VB
,	,
daughter	NN
of	IN
peneus	NNP
,	,
"	''
he	PRP
called	VBD
.	.
