"	``
we	PRP
are	VBP
no	DT
pirates	NNS
,	,
mighty	JJ
sir	NN
,	,
but	CC
greeks	NNS
,	,
sailing	VBG
back	RB
from	IN
troy	NNP
.	.
and	CC
we	PRP
beg	VBP
hospitality	NN
of	IN
you	PRP
in	IN
the	DT
name	NN
of	IN
jupiter	NNP
who	WP
rewards	VBZ
or	CC
punishes	VBZ
the	DT
host	NN
according	VBG
as	IN
he	PRP
is	VBZ
hospitable	JJ
or	CC
not	RB
.	.
"	``
"	``
then	RB
,	,
"	''
said	VBD
the	DT
giant	NN
,	,
"	``
it	PRP
is	VBZ
idle	JJ
to	TO
talk	VB
to	IN
me	PRP
of	IN
jupiter	NNP
and	CC
the	DT
gods	NNS
.	.
we	PRP
cyclops	NNPS
take	VBP
no	DT
account	NN
of	IN
gods	NNS
,	,
holding	VBG
ourselves	PRP
to	TO
be	VB
much	RB
better	JJR
and	CC
stronger	JJR
than	IN
they	PRP
.	.
"	''
without	IN
more	JJR
ado	NN
,	,
he	PRP
caught	VBD
up	RP
two	CD
of	IN
the	DT
men	NNS
,	,
and	CC
devoured	VBD
them	PRP
with	IN
huge	JJ
draughts	NNS
of	IN
milk	NN
between	IN
,	,
leaving	VBG
not	RB
even	RB
a	DT
morsel	NN
or	CC
one	CD
of	IN
their	PRP$
bones	NNS
.	.
and	CC
when	WRB
the	DT
giant	NN
had	VBD
ended	VBN
his	PRP$
meal	NN
,	,
he	PRP
lay	VBD
down	RP
among	IN
his	PRP$
sheep	NNS
and	CC
fell	VBD
asleep	JJ
.	.
ulysses	NNP
would	MD
have	VB
liked	VBN
to	TO
slay	VB
the	DT
cyclops	NNS
where	WRB
he	PRP
lay	VBP
,	,
but	CC
he	PRP
remembered	VBD
that	IN
,	,
were	VBD
he	PRP
to	TO
do	VB
this	DT
,	,
his	PRP$
comrades	NNS
would	MD
perish	VB
miserably	RB
.	.
how	WRB
could	MD
he	PRP
move	VB
away	RB
the	DT
great	JJ
rock	NN
that	WDT
lay	VBD
against	IN
the	DT
door	NN
of	IN
the	DT
cave	NN
?	.
so	RB
they	PRP
waited	VBD
until	IN
morning	NN
.	.
and	CC
the	DT
monster	NN
rose	VBD
,	,
seized	VBD
two	CD
more	JJR
men	NNS
and	CC
devoured	VBD
them	PRP
for	IN
his	PRP$
meal	NN
.	.
then	RB
he	PRP
went	VBD
to	IN
the	DT
pastures	NNS
,	,
but	CC
put	VBD
a	DT
great	JJ
rock	NN
on	IN
the	DT
mouth	NN
of	IN
the	DT
cave	NN
just	RB
as	IN
a	DT
man	NN
puts	VBZ
down	RP
the	DT
lid	NN
on	IN
his	PRP$
quiver	NN
of	IN
arrows	NNS
.	.
all	DT
that	DT
day	NN
the	DT
wise	JJ
ulysses	NNP
was	VBD
thinking	VBG
what	WP
he	PRP
might	MD
best	RBS
do	VB
to	TO
save	VB
himself	PRP
and	CC
his	PRP$
companions	NNS
,	,
and	CC
the	DT
end	NN
of	IN
his	PRP$
thinking	NN
was	VBD
this	DT
.	.
there	EX
was	VBD
a	DT
mighty	JJ
pole	NN
in	IN
the	DT
cave	NN
,	,
green	JJ
wood	NN
of	IN
an	DT
olive	NN
tree	NN
as	RB
big	JJ
as	IN
a	DT
ship	NN
's	POS
mast	NN
,	,
which	WDT
the	DT
giant	NN
proposed	VBD
to	TO
use	VB
as	IN
a	DT
walking	VBG
staff	NN
.	.
ulysses	NNP
broke	VBD
off	RP
a	DT
fathom	NN
's	POS
length	NN
of	IN
this	DT
and	CC
his	PRP$
companions	NNS
pointed	VBD
it	PRP
and	CC
hardened	VBD
it	PRP
in	IN
the	DT
fire	NN
.	.
then	RB
they	PRP
hid	VBD
it	PRP
away	RB
.	.
at	IN
evening	NN
the	DT
giant	NN
came	VBD
back	RB
,	,
drove	VBD
his	PRP$
flocks	NNS
into	IN
the	DT
cave	NN
,	,
fastened	VBD
the	DT
door	NN
and	CC
made	VBD
his	PRP$
cruel	JJ
feast	NN
as	IN
before	RB
.	.
then	RB
ulysses	NNP
came	VBD
forward	RB
with	IN
the	DT
skin	NN
of	IN
crushed	VBN
grapes	NNS
in	IN
his	PRP$
hand	NN
and	CC
said	VBD
