"	``
let	VB
me	PRP
go	VB
!	.
tu'n	VBP
me	PRP
loose	JJ
,	,
yo	PRP
'	VBG
!	.
"	''
the	DT
girl	NN
was	VBD
still	RB
laughing	VBG
,	,
but	CC
evidently	RB
troubled	JJ
.	.
she	PRP
wrenched	VBD
herself	PRP
away	RB
with	IN
an	DT
effort	NN
,	,
only	RB
to	TO
be	VB
caught	VBN
again	RB
a	DT
moment	NN
later	RB
.	.
she	PRP
screamed	VBD
and	CC
struck	VBD
at	IN
him	PRP
as	IN
he	PRP
kissed	VBD
her	PRP
;	:
for	IN
now	RB
she	PRP
was	VBD
really	RB
in	IN
terror	NN
.	.
the	DT
blow	NN
caught	VBD
gideon	NNP
squarely	RB
in	IN
the	DT
mouth	NN
,	,
and	CC
with	IN
such	JJ
force	NN
that	IN
he	PRP
staggered	VBD
back	RB
,	,
astonished	JJ
,	,
while	IN
the	DT
girl	NN
took	VBD
wildly	RB
to	IN
her	PRP$
heels	NNS
.	.
he	PRP
stood	VBD
for	IN
a	DT
moment	NN
irresolute	JJ
,	,
for	IN
something	NN
was	VBD
happening	VBG
to	IN
him	PRP
.	.
for	IN
months	NNS
he	PRP
had	VBD
evaded	VBN
love	NN
with	IN
a	DT
gentle	JJ
embarrassment	NN
;	:
now	RB
,	,
with	IN
the	DT
savage	JJ
crash	NN
of	IN
that	DT
blow	NN
,	,
he	PRP
knew	VBD
unreasoningly	RB
that	IN
he	PRP
had	VBD
found	VBN
his	PRP$
woman	NN
.	.
he	PRP
leaped	VBD
after	IN
her	PRP
again	RB
,	,
running	VBG
as	IN
he	PRP
had	VBD
not	RB
run	VBN
in	IN
years	NNS
,	,
in	IN
savage	JJ
,	,
determined	JJ
pursuit	NN
,	,
tearing	VBG
through	IN
brier	NN
and	CC
scrub	NN
,	,
tripping	VBG
,	,
falling	VBG
,	,
rising	VBG
,	,
never	RB
losing	VBG
sight	NN
of	IN
the	DT
blue	JJ
-	HYPH
clad	JJ
figure	NN
before	IN
him	PRP
until	IN
at	RB
last	RB
she	PRP
tripped	VBD
and	CC
fell	VBD
,	,
and	CC
he	PRP
stood	VBD
panting	VBG
above	IN
her	PRP
.	.
he	PRP
took	VBD
a	DT
great	JJ
breath	NN
or	CC
so	RB
,	,
and	CC
leaned	VBD
over	RP
and	CC
picked	VBD
her	PRP
up	RP
in	IN
his	PRP$
arms	NNS
,	,
where	WRB
she	PRP
screamed	VBD
and	CC
struck	VBD
and	CC
scratched	VBD
at	IN
him	PRP
.	.
he	PRP
laughed	VBD
,	,
for	IN
he	PRP
felt	VBD
no	DT
longer	RBR
sensible	JJ
to	IN
pain	NN
,	,
and	CC
,	,
still	RB
chuckling	VBG
,	,
picked	VBD
his	PRP$
way	NN
carefully	RB
back	RB
to	IN
the	DT
shore	NN
,	,
wading	VBG
deep	RB
into	IN
the	DT
water	NN
to	TO
unmoor	VB
his	PRP$
boat	NN
.	.
then	RB
with	IN
a	DT
swift	JJ
movement	NN
he	PRP
dropped	VBD
the	DT
girl	NN
into	IN
the	DT
bow	NN
,	,
pushed	VBD
free	JJ
,	,
and	CC
clambered	VBD
actively	RB
aboard	RB
.	.
vashti	NNP
's	POS
sobbing	NN
had	VBD
grown	VBN
small	JJ
and	CC
ceased	VBD
;	:
he	PRP
wondered	VBD
if	IN
she	PRP
had	VBD
fallen	VBN
asleep	JJ
.	.
presently	RB
,	,
however	RB
,	,
he	PRP
saw	VBD
her	PRP$
face	NN
raised	VBN
a	DT
face	NN
still	RB
shining	VBG
with	IN
tears	NNS
.	.
she	PRP
saw	VBD
that	IN
he	PRP
was	VBD
watching	VBG
her	PRP
,	,
and	CC
crouched	VBD
low	RB
again	RB
.	.
a	DT
dash	NN
of	IN
spray	NN
spattered	VBD
over	IN
her	PRP
,	,
and	CC
she	PRP
looked	VBD
up	RB
frightened	JJ
,	,
glancing	VBG
fearfully	RB
overside	RB
;	:
then	RB
once	RB
more	RBR
her	PRP$
eyes	NNS
came	VBD
back	RB
to	IN
him	PRP
,	,
and	CC
this	DT
time	NN
she	PRP
got	VBD
up	RP
,	,
still	RB
small	JJ
and	CC
crouching	VBG
,	,
and	CC
made	VBD
her	PRP$
way	NN
slowly	RB
and	CC
painfully	RB
down	IN
the	DT
length	NN
of	IN
the	DT
boat	NN
,	,
until	IN
at	IN
last	RB
gideon	NNP
moved	VBD
aside	RB
for	IN
her	PRP
,	,
and	CC
she	PRP
sank	VBD
in	IN
the	DT
bottom	NN
beside	IN
him	PRP
,	,
hiding	VBG
her	PRP$
eyes	NNS
in	IN
her	PRP$
gingham	NN
sleeve	NN
.	.
gideon	NNP
stretched	VBD
out	RP
a	DT
broad	JJ
hand	NN
and	CC
touched	VBD
her	PRP$
head	NN
lightly	RB
;	:
and	CC
with	IN
a	DT
tiny	JJ
gasp	NN
her	PRP$
fingers	NNS
stole	VBD
up	IN
to	IN
his	PRP
.	.
"	``
honey	NN
,	,
"	''
said	VBD
gideon	NNP
"	``
honey	UH
,	,
yo	PRP
'	VBP
ain	VBP
'	VBP
mad	JJ
,	,
is	VBZ
yo	PRP
'	VBG
?	.
"	''
she	PRP
shook	VBD
